organization,state,group1,records,year,source,group,Business Associate Present
Anthem Inc.,IN,Health Plan,78800000,2015,Hacking,Network Server,No
"Optum360, LLC",MN,Business Associate,11500000,2019,Hacking,Network Server,Yes
Premera Blue Cross,WA,Health Plan,11000000,2015,Hacking,Network Server,No
Laboratory Corporation of America Holdings dba LabCorp,NC,Healthcare Provider,10251784,2019,Hacking,Network Server,Yes
"Excellus Health Plan, Inc.",NY,Health Plan,9358891,2015,Hacking,Network Server,No
"University of California, Los Angeles Health",CA,Healthcare Provider,4500000,2015,Hacking,Network Server,No
"20/20 Eye Care Network, Inc",FL,Business Associate,4142440,2021,Hacking,Network Server,Yes
Banner Health,AZ,Healthcare Provider,3620000,2016,Hacking,Network Server,No
Medical Informatics Engineering,IN,Business Associate,3500000,2015,Hacking,Network Server,Yes
Florida Healthy Kids Corporation,FL,Health Plan,3500000,2021,Hacking,Network Server,Yes
"Newkirk Products, Inc.",NY,Business Associate,3466120,2016,Hacking,Network Server,Yes
Trinity Health ,MI,Business Associate,3320726,2020,Hacking,Network Server,Yes
"Dominion Dental Services, Inc., Dominion National Insurance Company, and Dominion Dental Services USA, Inc.",VA,Health Plan,2964778,2019,Hacking,Network Server,No
" AccuDoc Solutions, Inc.",NC,Business Associate,2652537,2018,Hacking,Network Server,Yes
"Smile Brands, Inc.",CA,Business Associate,2592494,2021,Hacking,Network Server,Yes
"Forefront Dermatology, S.C. ",WI,Healthcare Provider,2413553,2021,Hacking,Network Server,Yes
21st Century Oncology,FL,Healthcare Provider,2213597,2016,Hacking,Network Server,No
"Clinical Pathology Laboratories, Inc.",TX,Healthcare Provider,1733836,2019,Hacking,Network Server,No
"Dental Care Alliance, LLC",FL,Business Associate,1723375,2020,Hacking,Network Server,Yes
"NEC Networks, LLC d/b/a CaptureRx",TX,Business Associate,1656569,2021,Hacking,Network Server,Yes
Eskenazi Health,IN,Healthcare Provider,1515918,2021,Hacking,Network Server,No
The Kroger Co. ,OH,Healthcare Provider,1474284,2021,Hacking,Network Server,No
EyeMed Vision Care LLC,OH,Business Associate,1474000,2021,Unauthorized Access,Email,Yes
Iowa Health System d/b/a UnityPoint Health ,IA,Business Associate,1421107,2018,Hacking,Email,Yes
"St. Joseph's/Candler Health System, Inc.",GA,Healthcare Provider,1400000,2021,Hacking,Network Server,No
CareFirst Blue Cross Blue Shield,MD,Health Plan,1300000,2015,Hacking,Network Server,No
University Medical Center Southern Nevada,NV,Healthcare Provider,1300000,2021,Hacking,Network Server,No
"MEDNAX Services, Inc.",FL,Business Associate,1290670,2021,Hacking,Email,Yes
"American Anesthesiology, Inc.",NY,Healthcare Provider,1269074,2021,Hacking,Email,Yes
Employees Retirement System of Texas,TX,Health Plan,1248263,2018,Unauthorized Access,Other,No
"INTEGRIS Health, Inc.",OK,Healthcare Provider,1245218,2019,Theft/Loss,Computer,No
"Professional Business Systems, Inc., d/b/a Practicefirst Medical Management Solutions and PBS Medcode Corp., (???Practicefirst??ù)",NY,Business Associate,1210688,2021,Hacking,Network Server,Yes
Presbyterian Healthcare Services,NM,Healthcare Provider,1120629,2019,Hacking,Email,No
Inova Health System,VA,Healthcare Provider,1045270,2020,Hacking,Network Server,No
Magellan Health Inc.,AZ,Health Plan,1013956,2020,Hacking,Email,No
UW Medicine,WA,Healthcare Provider,973024,2019,Hacking,Network Server,No
"Valley Anesthesiology Consultants, Inc. d/b/a Valley Anesthesiology and Pain Consultants",AZ,Healthcare Provider,882590,2016,Hacking,Network Server,No
US Fertility LLC,MD,Business Associate,878550,2021,Hacking,Network Server,Yes
Luxottica of America Inc.,OH,Business Associate,829454,2021,Hacking,Network Server,Yes
Personal Touch Holding Corp.,NY,Business Associate,753107,2021,Hacking,Network Server,Yes
"Oregon Anesthesiology Group, P.C.",OR,Healthcare Provider,750500,2021,Hacking,Network Server,No
County of Los Angeles Departments of Health and Mental Health,CA,Healthcare Provider,749017,2016,Hacking,Email,No
UF Health Central Florida,FL,Healthcare Provider,700981,2021,Hacking,Network Server,No
Commonwealth Health Corporation,KY,Healthcare Provider,697800,2017,Unauthorized Access,Computer,No
Virginia Department of Medical Assistance Services (VA-DMAS),VA,Health Plan,697586,2015,Hacking,Network Server,Yes
Health Net Community Solutions,CA,Health Plan,688603,2021,Hacking,Network Server,Yes
Sea Mar Community Health Centers,WA,Healthcare Provider,688000,2021,Hacking,Network Server,No
"Community Medical Centers, Inc.",CA,Healthcare Provider,656047,2021,Hacking,Network Server,No
"DuPage Medical Group, Ltd. ",IL,Healthcare Provider,655384,2021,Hacking,Network Server,No
Health Share of Oregon,OR,Health Plan,654362,2020,Theft/Loss,Computer ,Yes
Bon Secours Health System Incorporated,MD,Healthcare Provider,651971,2016,Unauthorized Access,Network Server,Yes
Hendrick Health,TX,Healthcare Provider,640436,2021,Hacking,Network Server,No
Florida Orthopaedic Institute,FL,Healthcare Provider,640000,2020,Hacking,Network Server,No
UNM Health,NM,Healthcare Provider,637252,2021,Hacking,Network Server,No
Oregon Department of Human Services,OR,Business Associate,625000,2019,Hacking,Email,Yes
Trinity Health,MI,Business Associate,586869,2021,Hacking,Network Server,Yes
CA Department of Developmental Services,CA,Health Plan,582174,2018,Theft/Loss,Paper/Films,No
"Utah Imaging Associates, Inc.",UT,Healthcare Provider,582170,2021,Hacking,Network Server,No
MSK Group,TN,Healthcare Provider,566236,2018,Hacking,Network Server,No
Georgia Department of Community Health ,GA,Health Plan,557779,2015,Hacking,Network Server,Yes
Health Net of California,CA,Health Plan,550828,2021,Hacking,Network Server,Yes
"Elkhart Emergency Physicians, Inc .",IN,Healthcare Provider,550000,2020,Improper Disposal,Paper/Films,Yes
"LifeBridge Health, Inc",MD,Healthcare Provider,538127,2018,Hacking,Network Server,No
Texas ENT Specialists,TX,Healthcare Provider,535489,2021,Hacking,Network Server,No
Peachtree Orthopaedic Clinic,GA,Healthcare Provider,531000,2016,Hacking,Network Server,No
"Wolfe Clinic, P.C.",IA,Healthcare Provider,527378,2021,Hacking,Network Server,No
"Women's Care Florida, LLC",FL,Healthcare Provider,527310,2019,Hacking,Network Server,No
"Health Management Concepts, Inc.",FL,Business Associate,502416,2018,Hacking,Network Server,Yes
"Airway Oxygen, Inc.",MI,Healthcare Provider,500000,2017,Hacking,Network Server,No
UC San Diego Health,CA,Healthcare Provider,495949,2021,Hacking,Network Server,No
Aetna ACE,CT,Health Plan,484157,2021,Hacking,Email,Yes
"Radiology Regional Center, PA",FL,Healthcare Provider,483063,2016,Theft/Loss,Paper/Films,Yes
"CareCentrix, Inc.",CT,Healthcare Provider,467621,2019,Hacking,Network Server,Yes
"Orlando Family Physicians, LLC",FL,Healthcare Provider,447426,2021,Hacking,Email,No
Georgia Department of Human Services,GA,Business Associate,435339,2018,Unauthorized Access,Network Server,Yes
BioReference Laboratories Inc. ,NJ,Healthcare Provider,425749,2019,Hacking,Other,Yes
Bricker & Eckler LLP,OH,Business Associate,420532,2021,Hacking,Network Server,Yes
Health Plan of San Joaquin,CA,Health Plan,418842,2021,Hacking,Email,No
Memphis Pathology Laboratory d/b/a American Esoteric Laboratories,TN,Healthcare Provider,417146,2019,Hacking,Network Server,No
"AU Medical Center, INC",GA,Healthcare Provider,417000,2018,Hacking,Email,No
Planned Parenthood Los Angeles,CA,Healthcare Provider,409759,2021,Hacking,Network Server,No
"Navicent Health, Inc.",GA,Healthcare Provider,404993,2019,Hacking,Email,No
"Sunrise Medical Laboratories, Inc.",NY,Healthcare Provider,401901,2019,Hacking,Network Server,No
California Correctional Health Care Services,CA,Healthcare Provider,400000,2016,Theft/Loss,Computer ,No
Columbia Surgical Specialist of Spokane,WA,Healthcare Provider,400000,2019,Hacking,Network Server,No
"Monongalia Health System, Inc.",WV,Healthcare Provider,398164,2021,Hacking,Email,No
Community Health Plan of Washington,WA,Health Plan,381504,2016,Hacking,Network Server,No
"Health Quest Systems, Inc. ",NY,Healthcare Provider,372043,2019,Hacking,Email,No
Sarrell Dental,AL,Healthcare Provider,363617,2019,Hacking,Network Server,No
Saint Luke's Foundation,MO,Healthcare Provider,360212,2020,Hacking,Network Server,Yes
Georgia Department of Community Health ,GA,Health Plan,355127,2015,Hacking,Network Server,Yes
Einstein Healthcare Network,PA,Healthcare Provider,353616,2020,Hacking,Email,No
"BioPlus Specialty Pharmacy Services, LLC",FL,Healthcare Provider,350000,2021,Hacking,Network Server,No
"ReproSource Fertility Diagnostics, Inc.",MA,Healthcare Provider,350000,2021,Hacking,Network Server,No
NorthShore University HealthSystem,IL,Healthcare Provider,348746,2020,Hacking,Network Server,Yes
SCL Health ,CO,Healthcare Provider,343493,2020,Hacking,Network Server,Yes
Health Center Partners of Southern California,CA,Business Associate,337245,2021,Hacking,Network Server,Yes
Orthopedic Associates of Dutchess County ,NY,Healthcare Provider,331376,2021,Hacking,Network Server,No
UConn Health,CT,Healthcare Provider,326629,2019,Hacking,Email,No
"Denton County, Texas",TX,Healthcare Provider,326417,2021,Unauthorized Access,Network Server,No
Premier Family Medical,UT,Healthcare Provider,320000,2019,Hacking,Network Server,No
"QRS, Inc.",TN,Business Associate,319778,2021,Hacking,Network Server,Yes
AdventHealth  ,FL,Healthcare Provider,315337,2020,Hacking,Network Server,Yes
Nuvance Health,NY,Healthcare Provider,314829,2020,Hacking,Network Server,Yes
Magellan Rx Management,AZ,Business Associate,314704,2020,Hacking,Email,Yes
"The  Baton Rouge Clinic, A Medical Corporation",LA,Healthcare Provider,308169,2020,Hacking,Computer ,No
Beacon Health System,IN,Healthcare Provider,306789,2015,Hacking,Email,No
Northern Light Health ,ME,Business Associate,304399,2020,Hacking,Network Server,Yes
SSM Health St. Mary's Hospital - Jefferson City,MO,Healthcare Provider,301000,2018,Improper Disposal,Paper/Films,No
"Central Ohio Urology Group, Inc.",OH,Healthcare Provider,300000,2016,Hacking,Network Server,No
"Women's Health Care Group of PA, LLC",PA,Healthcare Provider,300000,2017,Hacking,Computer ,No
Allegheny Health Network,PA,Healthcare Provider,299507,2020,Hacking,Network Server,Yes
Northeast Radiology,NY,Healthcare Provider,298532,2020,Hacking,Network Server,Yes
"AspenPointe, Inc. ",CO,Healthcare Provider,295617,2021,Hacking,Network Server,No
BJC Health System,MO,Business Associate,287876,2020,Hacking,Email,Yes
Oklahoma State University ,OK,Healthcare Provider,279865,2018,Hacking,Network Server,No
"Urology Austin, PLLC",TX,Healthcare Provider,279663,2017,Hacking,Network Server,No
ZOLL Services LLC,PA,Healthcare Provider,277319,2019,Hacking,Network Server,Yes
"Med Associates, Inc.",NY,Business Associate,276057,2018,Hacking,Computer ,Yes
"Benefit Recovery Specialists, Inc. ",TX,Business Associate,274837,2020,Hacking,Network Server,Yes
Pacific Alliance Medical Center,CA,Healthcare Provider,266123,2017,Hacking,Network Server,No
AMITA Health,IL,Healthcare Provider,261054,2020,Hacking,Network Server,Yes
Adams County,WI,Healthcare Provider,258120,2019,Unauthorized Access,Network Server,No
Premier Health Partners,OH,Healthcare Provider,254786,2020,Unauthorized Access,Email,No
Assured Imaging,AZ,Healthcare Provider,244813,2020,Hacking,Network Server,No
 Virginia Mason Medical Center,WA,Healthcare Provider,244761,2020,Hacking,Network Server,Yes
University of Tennessee Medical Center ,TN,Healthcare Provider,234954,2020,Hacking,Network Server,Yes
"Good Samaritan Hospital, Inc.",CA,Healthcare Provider,233835,2020,Hacking,Email,No
City of Philadelphia,PA,Health Plan,233543,2020,Hacking,Email,No
Woodcreek Provider Services LLC,WA,Business Associate,233199,2021,Hacking,Network Server,Yes
Ambry Genetics Corporation,CA,Healthcare Provider,232772,2020,Hacking,Email,No
Legacy Community Health Services,TX,Healthcare Provider,228009,2020,Hacking,Email,No
Total Health Care Inc.,MI,Health Plan,221454,2021,Hacking,Email,No
Episcopal Health Services,NY,Healthcare Provider,218055,2018,Hacking,Email,No
"The Nebraska Medical Center and University of Nebraska Medical Center, Affiliated Covered Entities",NE,Healthcare Provider,216472,2021,Hacking,Network Server,No
MultiPlan,NY,Business Associate,214956,2021,Hacking,Email,Yes
"Florida Digestive Health Specialists, LLP",FL,Healthcare Provider,212509,2021,Unauthorized Access,Email,No
"UMass Memorial Health Care, Inc.",MA,Business Associate,209048,2021,Hacking,Email,Yes
Rehoboth McKinley Christian Health Care Services,NM,Healthcare Provider,207195,2021,Hacking,Network Server,No
"Doctors Management Services, Inc.",MA,Business Associate,206695,2019,Hacking,Network Server,Yes
"Premier Healthcare, LLC",IN,Healthcare Provider,205748,2016,Theft/Loss,Computer ,No
MedEvolve,AR,Business Associate,205434,2018,Unauthorized Access,Network Server,Yes
Northwestern Memorial HealthCare,IL,Healthcare Provider,201197,2021,Hacking,Network Server,Yes
"Athens Orthopedic Clinic, P.A.",GA,Healthcare Provider,201000,2016,Unauthorized Access,Network Server,No
